CustomerID,FirstName,LastName,Email,Phone,CompanyName,LeadStatus,SalesRep,LastContactDate,Account Number,Sales Region / Territory,Channel
CUST00001,James,N-A,,,Hernandez Group 有限会社,,,11-12-2023,ACCT000001,,Partner
CUST00002,,Doe,,,"Price, Lawson and Mills 有限会社",Contacted,Alexis Hayes,"August 15, 2020",ACCT000002,,
CUST00003,,,,###INVALID###,,Contacted,Sheila Howe,NULL,ACCT000003,LATAM-Andean,Other
CUST00004,Satoshi,Yamamoto,satoshi@domain.fake,N-A,"Tucker, Williams and Bates 株式会社",Converted,Tammy Hudson,,ACCT000004,Global-Strategic,NULL
CUST00005,John,,,,Bird PLC 有限会社,,Bobby Williams DDS,30-Dec-21,ACCT000005,US-West,Online
CUST00006,N-A,,,,Carpenter PLC ™,Converted,N-A,11-May-24,,APAC-North,Online
CUST00007,Wei,Zhang,wei@domain.fake,N-A,"Edwards, Hahn and Green Corp.",Qualified,Martin Mckay,20-11-2024,ACCT000007,Canada-East,
CUST00008,,Tanaka,,,,Converted,Alexis Hayes,,ACCT000008,EMEA-North,
CUST00009,,,james#smith.com,###INVALID###,,Converted,Shelly Durham,,ACCT000009,,
CUST00010,,,ana@,-,"Martinez, Miller and Sullivan Corp.",New,Phillip Webb,29-11-2020,ACCT000010,EMEA-South,
CUST00011,,Nilsson,e.nilsson@gmail.com,,,Qualified,Sydney Carter,01-02-2024,ACCT000011,,Partner
CUST00012,,Lopez,,,N-A,Qualified,Karen Jones,2020 December 09,ACCT000012,,
CUST00013,,Dubois,marie-jo#dubois.com,no phone,N-A,Lost,,08-07-2021,ACCT000013,Canada-West,Other
CUST00014,,Tanaka,,,,,Dr. Joseph Nguyen,03-Apr-22,,Canada-East,###INVALID###
CUST00015,,,,,Rodriguez-Ruiz ™,Contacted,,19-04-2024,ACCT000015,LATAM-Brazil,Other
CUST00016,,N-A,###INVALID###,,Lewis-Dixon 有限会社,New,Vanessa Cunningham,,,LATAM-Andean,Partner
CUST00017,,Dubois,marie-jo_dubois@yahoo.com,N-A,Williams-Ibarra 技术有限公司,,Alexis Hayes,09-09-2022,,LATAM-Brazil,Partner
CUST00018,,Yamamoto,satoshi#yamamoto.com,,,Contacted,,2025 February 28,ACCT000018,US-West,Partner
CUST00019,,###INVALID###,lars_hansen@yahoo.com,(567)567-8556x204,,,Patricia Roberts,28-Jun-20,ACCT000019,APAC-North,Direct
CUST00020,,Lopez,ana#lopez.com,-,,,,23-03-2025,ACCT000020,,
CUST00021,,Zhang,wei.zhang@example.com,(273)461-6251x7824,,Qualified,Zachary Hamilton,2020 May 15,,APAC-Southeast,Other
CUST00022,,Tanaka,,N-A,Cervantes Group 株式会社,Qualified,,"December 05, 2020",ACCT000022,,Other
CUST00023,N-A,Hansen,lars.hansen@hotmail.com,N-A,Mahoney LLC & Co.,Qualified,,13-Sep-24,,US-East,Partner
CUST00024,,Doe,john_doe@yahoo.com,no phone,Wilson-Medina 有限会社,Lost,John Smith,,,MEA-Gulf,
CUST00025,,,e.nilsson@gmail.com,N-A,Parks-Peterson 技术有限公司,,Bobby Williams DDS,30-08-2021,ACCT000025,EMEA-South,NULL
CUST00026,,Yamamoto,,###INVALID###,Hughes-Harper 技术有限公司,,,,,,Partner
CUST00027,,Zhang,,,,Contacted,John Smith,08-Dec-24,ACCT000027,N-A,Partner
CUST00028,,Nilsson,,986-929-4677x7964,Gonzalez-Valdez 有限会社,Lost,###INVALID###,07-06-2023,,APAC-North,Partner
CUST00029,,Hansen,lars.hansen@hotmail.com,###INVALID###,,Qualified,Karen Jones,,ACCT000029,N-A,
CUST00030,,Smith,james#smith.com,815.248.5916,Hudson LLC Corp.,Contacted,###INVALID###,"January 21, 2023",ACCT000030,Canada-West,Partner
CUST00031,,Yamamoto,satoshi.yamamoto@example.com,,Turner-Castaneda Corp.,,,09-06-2021,ACCT000031,EMEA-South,
CUST00032,,Li,chun@domain.fake,-,"Hess, Marshall and Lee 有限会社",New,,30-03-2025,ACCT000032,,Direct
CUST00033,,N-A,,,"Harrison, Hickman and Scott Corp.",,,27-Jan-24,ACCT000033,Global-Strategic,Direct
CUST00034,,Li,,no phone,,Contacted,Alexis Hayes,,###INVALID###,US-East,Direct
CUST00035,,Doe,john@domain.fake,,Taylor-Jones ™,Converted,Phillip Webb,05-Jul-24,ACCT000035,N-A,
CUST00036,,,john.doe@hotmail.com,,Mcdonald Group 株式会社,Lost,,2021 July 04,,LATAM-Brazil,
CUST00037,,Tanaka,,,,Lost,Dr. Joseph Nguyen,05-03-2024,ACCT000037,,Partner
CUST00038,,,,,,Qualified,Zachary Hamilton,09-11-2021,,US-East,Direct
CUST00039,,Dubois,marie-jo@,N-A,,Contacted,William Edwards,2020 August 24,###INVALID###,N-A,Direct
CUST00040,,Yamamoto,,-,Gould-Duran 株式会社,New,Bobby Williams DDS,05-04-2022,ACCT000040,MEA-Gulf,Direct
CUST00041,,,,,Bennett-Munoz 技术有限公司,,Karen Jones,18-07-2023,ACCT000041,APAC-North,
CUST00042,N-A,,,,Bell Group 有限会社,,William Edwards,02-Dec-23,ACCT000042,,Online
CUST00043,,,s.yamamoto@gmail.com,,Blair-Evans & Co.,Qualified,Zachary Hamilton,,,MEA-Gulf,
CUST00044,,Dubois,,,,Contacted,Sandy Elliott,11-08-2024,,APAC-Southeast,Direct
CUST00045,,,marie-jo@,N-A,Riggs Group & Co.,,,"November 25, 2020",ACCT000045,,
CUST00046,,,,-,"Wolf, Rosales and Conner 技术有限公司",Converted,,2022 October 25,ACCT000046,LATAM-Brazil,Other
CUST00047,,Li,chun.li@example.com,-,Morales PLC & Co.,Qualified,Shelly Durham,,###INVALID###,Canada-West,Direct
CUST00048,,,,,"Fisher, Calderon and Jarvis 有限会社",,Sydney Carter,21-10-2023,ACCT000048,,Direct
CUST00049,,Dubois,,383-855-8784x43590,Huber Group ™,Converted,Emily Sherman,NULL,###INVALID###,MEA-Gulf,Other
CUST00050,,,###INVALID###,,Hodges Inc 株式会社,,,17-Feb-24,,,
CUST00051,,,,N-A,Smith-Campbell ™,Lost,Sandy Elliott,20-09-2023,ACCT000051,MEA-Gulf,Direct
CUST00052,,,w.zhang@gmail.com,913.945.3147x4299,Norris Ltd 有限会社,,N-A,,ACCT000052,,Other
CUST00053,,Lopez,a.lopez@gmail.com,no phone,,,Dr. Joseph Nguyen,30-10-2023,ACCT000053,US-Midwest,Direct
CUST00054,,###INVALID###,###INVALID###,,,,Sandy Elliott,,ACCT000054,,Direct
CUST00055,,Li,,,"Chandler, Brown and Marsh 株式会社",,,###INVALID###,ACCT000055,Canada-West,Direct
CUST00056,,Hansen,l.hansen@gmail.com,,Copeland-Myers 技术有限公司,Qualified,,,ACCT000056,APAC-Southeast,Direct
CUST00057,,,,,,Converted,Zachary Hamilton,"May 13, 2023",ACCT000057,Canada-East,Direct
CUST00058,,Yamamoto,,,"Gomez, Owens and Johnson ™",,Jennifer Richardson,18-Apr-23,ACCT000058,Canada-West,Partner
CUST00059,,,,N-A,,Qualified,,09-Jan-22,ACCT000059,Canada-East,Partner
CUST00060,,Yamamoto,,,Walsh PLC 有限会社,Lost,Karen Jones,30-03-2022,ACCT000060,###INVALID###,Partner
CUST00061,,,,-,,Qualified,Zachary Hamilton,2023 July 10,ACCT000061,Global-Strategic,Partner
CUST00062,,Lopez,,,Burke Group Corp.,,Alexis Hayes,,ACCT000062,MEA-Gulf,
CUST00063,,Zhang,,,Monroe-Fry Corp.,Lost,Martin Mckay,###INVALID###,,LATAM-Brazil,Partner
CUST00064,,Li,###INVALID###,721-062-2693,"Harrison, Hernandez and Sullivan 有限会社",Lost,###INVALID###,20-06-2024,ACCT000064,,Online
CUST00065,,,chun_li@yahoo.com,,Gonzalez-Khan ™,New,N-A,08-05-2023,ACCT000065,APAC-North,Direct
CUST00066,,Nilsson,emma.nilsson@gmail.com,,"Cruz, Clark and Thompson ™",Converted,,,ACCT000066,LATAM-Andean,Partner
CUST00067,,Zhang,,-,"Dickson, Martinez and Hoffman 技术有限公司",New,Phillip Webb,25-08-2022,,,Partner
CUST00068,,Doe,,,,New,Bobby Williams DDS,27-05-2022,ACCT000068,,
CUST00069,###INVALID###,,satoshi.yamamoto@example.com,,Lewis Inc & Co.,Qualified,Martin Mckay,22-Jul-22,ACCT000069,US-Midwest,Partner
CUST00070,,Zhang,,,Gonzalez-Hayes 株式会社,Contacted,,###INVALID###,ACCT000070,LATAM-Brazil,###INVALID###
CUST00071,,,,,Williams Inc Corp.,New,Zachary Hamilton,NULL,ACCT000071,,Direct
CUST00072,,Yamamoto,satoshi@domain.fake,837-864-9454x34842,Jones Group Corp.,Contacted,Bobby Williams DDS,22-07-2023,ACCT000072,Canada-West,NULL
CUST00073,,Doe,john_doe@yahoo.com,N-A,"Abbott, Briggs and Snyder 有限会社",Converted,Patricia Roberts,,ACCT000073,Canada-West,
CUST00074,,Doe,j.doe@gmail.com,,"Williams, Galvan and Edwards 技术有限公司",,Shelly Durham,,ACCT000074,US-Midwest,Online
CUST00075,,Smith,,-,"Nelson, Morgan and Craig Corp.",,Karen Jones,04-05-2023,ACCT000075,,Partner
CUST00076,,Smith,james#smith.com,,"Lozano, May and Villegas 有限会社",Contacted,###INVALID###,,,###INVALID###,###INVALID###
CUST00077,,,james_smith@yahoo.com,N-A,Lewis-Cox Corp.,Converted,Tammy Hudson,08-10-2024,ACCT000077,,Partner
CUST00078,,Dubois,###INVALID###,,"Molina, Jackson and Johnson 株式会社",,Martin Mckay,15-04-2022,ACCT000078,US-Midwest,Online
CUST00079,###INVALID###,Li,c.li@gmail.com,no phone,"Campbell, Hanson and Sanchez Corp.",Lost,,08-10-2021,,EMEA-South,
CUST00080,,Tanaka,,,,Lost,Alexis Hayes,20-02-2024,,,
CUST00081,,,james_smith@yahoo.com,-,Baker Ltd Corp.,Contacted,John Smith,25-11-2023,ACCT000081,EMEA-North,Online
CUST00082,,,,,,New,Phillip Webb,2024 July 04,ACCT000082,,###INVALID###
CUST00083,,,,,Smith PLC 株式会社,Qualified,,04-06-2022,,LATAM-Brazil,Direct
CUST00084,,Tanaka,###INVALID###,,"Sanchez, Blanchard and Drake 有限会社",Converted,,2024 May 08,,US-Midwest,
CUST00085,###INVALID###,Tanaka,yuki.tanaka@example.com,,,Contacted,Zachary Hamilton,,ACCT000085,EMEA-North,Other
CUST00086,,Smith,james.smith@gmail.com,,"Rosales, Mcgee and Wyatt 有限会社",Lost,,25-04-2023,,EMEA-North,Direct
CUST00087,,,,###INVALID###,Carter-Sanchez 株式会社,Converted,Bobby Williams DDS,2021 October 17,ACCT000087,###INVALID###,
CUST00088,,Li,,,Johnson-Pena 株式会社,Lost,Bobby Williams DDS,08-Apr-25,ACCT000088,LATAM-Brazil,Other
CUST00089,,Yamamoto,satoshi@domain.fake,,"Day, Perez and Martinez 有限会社",Qualified,Sydney Carter,29-Jan-23,ACCT000089,Global-Strategic,
CUST00090,,,marie-jo.dubois@gmail.com,N-A,"Garcia, Buchanan and Avila & Co.",New,Vanessa Cunningham,,,APAC-Southeast,
CUST00091,,,,-,,,Phillip Webb,01-07-2022,ACCT000091,MEA-Gulf,Partner
CUST00092,,,satoshi@domain.fake,,Adams and Sons 株式会社,,Alexis Hayes,"February 10, 2024",ACCT000092,APAC-Southeast,
CUST00093,,Yamamoto,satoshi_yamamoto@yahoo.com,,"Jackson, Neal and Powell 有限会社",Contacted,Stephanie Rogers,###INVALID###,ACCT000093,,Direct
CUST00094,,,john#doe.com,,"Romero, Williams and Gomez 株式会社",New,Patricia Roberts,06-01-2021,,MEA-Gulf,
CUST00095,,,chun.li@hotmail.com,,Torres Ltd ™,,Sydney Carter,15-Jan-23,,Canada-East,Partner
CUST00096,,,###INVALID###,,Martinez-Hester 技术有限公司,New,Shelly Durham,25-02-2022,,Canada-West,
CUST00097,,,,N-A,Franklin LLC Corp.,Qualified,Emily Sherman,NULL,ACCT000097,,Direct
CUST00098,,N-A,l.hansen@gmail.com,,Rivers Ltd & Co.,,William Edwards,05-Aug-20,,US-West,Online
CUST00099,,,NULL,,Young Inc 技术有限公司,Contacted,Tammy Hudson,,,APAC-Southeast,Direct
CUST00100,,###INVALID###,,,,Contacted,Shelly Durham,15-Nov-22,ACCT000100,###INVALID###,
CUST00101,,Li,,,Moore-Smith 技术有限公司,Qualified,,2021 September 04,ACCT000101,US-East,Other
CUST00102,,Dubois,marie-jo.dubois@example.com,###INVALID###,"Morris, Lamb and Jackson 有限会社",###INVALID###,,,ACCT000102,Global-Strategic,
CUST00103,,Nilsson,###INVALID###,3615652129,###INVALID###,Qualified,Dr. Joseph Nguyen,16-Feb-22,ACCT000103,EMEA-South,Partner
CUST00104,,,chun#li.com,###INVALID###,"Murray, Kelly and Patterson & Co.",,Zachary Hamilton,,ACCT000104,Canada-West,###INVALID###
CUST00105,,Hansen,l.hansen@gmail.com,,,Converted,Bobby Williams DDS,04-Mar-25,,,Partner
CUST00106,,,emma@domain.fake,,"Smith, Rodriguez and Thompson 株式会社",Qualified,Dr. Joseph Nguyen,,ACCT000106,US-West,Partner
CUST00107,,Smith,james@domain.fake,,,New,,"February 14, 2021",,###INVALID###,Direct
CUST00108,,,,-,###INVALID###,Lost,###INVALID###,2024 July 17,ACCT000108,Canada-West,Other
CUST00109,,Zhang,,N-A,,New,Shelly Durham,NULL,ACCT000109,APAC-Southeast,
CUST00110,,Zhang,wei@domain.fake,,,Qualified,Phillip Webb,,,LATAM-Brazil,Direct
CUST00111,,,,no phone,Monroe PLC Corp.,,Sydney Carter,,,EMEA-North,Direct
CUST00112,,,ana.lopez@example.com,,N-A,Contacted,,22-11-2022,,APAC-Southeast,Other
CUST00113,,,james@,,"Bauer, Gordon and Ellis 有限会社",Qualified,Sharon Young,09-Apr-25,ACCT000113,US-Midwest,Direct
CUST00114,,Zhang,,,"Suarez, Whitehead and Garcia 技术有限公司",New,###INVALID###,###INVALID###,ACCT000114,US-East,Online
CUST00115,,Doe,,N-A,,,John Smith,,ACCT000115,MEA-Gulf,
CUST00116,,,,,,###INVALID###,,12-10-2020,NULL,###INVALID###,Partner
CUST00117,,,###INVALID###,,Taylor-Martin Corp.,New,Tammy Hudson,20-07-2022,ACCT000117,Canada-West,
CUST00118,,Doe,,,Gonzalez Inc 株式会社,,Shelly Durham,27-04-2021,ACCT000118,###INVALID###,Partner
