CustomerID,Product,Quantity,PurchaseDate,UnitPrice,Account Number,Billing Address,Shipping Address,Country / Region,Postal Code / ZIP,State / Province,City,Payment Terms,Credit Limit,Tax ID / VAT Number,Currency,Bank Account Details,Preferred Payment Method
CUST00001,,###INVALID###,2022-03-18,,ACCT000001,8844 Whitney Lights,,Tunisia,22172.0,RI,,Net 60,79622.0,CI0584322,INR,KSDA39997151016436,
CUST00002,,###INVALID###,2024 July 18,769.41,ACCT000002,,603 Stevenson Common,Gabon,1597.0,,Raymondview,Net 60,,uw5248506,GBP,,###INVALID###
CUST00003,Tablet,,2021-07-29,1476.79,ACCT000003,173 Monica Stravenue Suite 508,41602 Velez Green Apt. 345,American Samoa,2433.0,MO,,Net 30,38243.0,,,SCUD60804564056351,
CUST00004,,,,966.47,,8071 Phillip Crossroad Apt. 286,86669 Kevin Divide,Sudan,,AZ,,Due on Receipt,41066.0,###INVALID###,GBP,,
CUST00005,Phone,,,1361.64,,8807 Hart Streets,,French Guiana,70587.0,ME,Raymondborough,Net 30,28610.0,HH6576127,INR,DCPO79094022103439,
CUST00006,Tablet,###INVALID###,,87.13,ACCT000006,8126 Jeffrey Court,39981 Glass Mall,India,59673.0,VA,North Jamie,Net 30,50316.0,zB2638650,EUR,GKAA38554456841736,
CUST00007,Phone,1.0,13-01-2021,1367.54,ACCT000007,59381 Michelle Key Suite 026,,Belarus,60126.0,WV,East Erikside,Due on Receipt,14108.0,,USD,MRJY42620910625021,Bank Transfer
CUST00008,Printer,6.0,,1278.45,ACCT000008,917 Hooper Meadow,,,84338.0,AL,,Net 30,80950.0,IO8097868,EUR,HZEZ01582963528890,
CUST00009,Printer,1.0,26 December 2021,1047.15,,,940 Rebecca Forest Apt. 971,Micronesia,,FL,Johnsonburgh,Net 30,85460.0,,,,Bank Transfer
CUST00010,,10.0,14 March 2025,1217.98,ACCT000010,781 Mendoza Club Suite 251,1068 Jody Plain,Congo,46474.0,UT,,Net 30,89302.0,cx4757676,INR,KBYQ09215012101472,Bank Transfer
CUST00011,Mouse,6.0,,618.49,ACCT000011,,945 Hanson Knoll Apt. 027,,,,,Net 60,,la2163975,EUR,UEJK31765871211871,
CUST00012,Laptop,,02-09-2024,1291.06,,6877 Doyle Underpass Suite 009,388 Lindsay Dam,,99351.0,,Barbarafurt,Due on Receipt,53319.0,sM4855548,USD,,
CUST00013,Mouse,5.0,14 September 2021,408.75,ACCT000013,211 Steven Divide,97478 Jeffrey Mews Apt. 620,,78493.0,,Anthonybury,Net 60,17101.0,,USD,PLFO27186035677588,Credit Card
CUST00014,Printer,2.0,24/06/2022,853.99,ACCT000014,,,###INVALID###,55448.0,NV,Edwardchester,Net 60,93134.0,,GBP,BTLM96335455422830,Credit Card
CUST00015,Keyboard,10.0,N-A,,ACCT000015,53026 Eric Trail,092 Hill Crest Suite 341,,57275.0,MT,Kathleenmouth,Due on Receipt,95291.0,fL7466578,,,
CUST00016,Monitor,1.0,19 September 2021,861.08,ACCT000016,326 Walker Fork Apt. 935,N-A,Saint Martin,42568.0,OK,South Jillmouth,,50438.0,jF4148320,,MNBQ90956275088370,Credit Card
CUST00017,Mouse,4.0,,311.21,ACCT000017,N-A,678 Alice Wall,French Southern Territories,94323.0,DC,Patrickmouth,Net 60,81590.0,jO5671314,USD,,Bank Transfer
CUST00018,Laptop,,,N-A,,,13665 Burke Ranch,Turkmenistan,12092.0,CA,Port Eric,Net 60,87446.0,ve9037386,GBP,###INVALID###,
CUST00019,,10.0,,###INVALID###,,8108 Belinda Course Apt. 032,###INVALID###,N-A,52311.0,CA,Sanchezside,Net 60,28318.0,Vw5373345,USD,LAMO19421656247322,Credit Card
CUST00020,Keyboard,4.0,31-10-2021,1061.88,ACCT000020,005 Todd Springs,,Greenland,28489.0,,,N-A,65115.0,FJ0353593,GBP,,
CUST00021,Phone,3.0,24-01-2021,89.72,ACCT000021,,,Faroe Islands,38849.0,WV,Johnsonport,Net 30,53376.0,Tr1363836,USD,,Bank Transfer
CUST00022,Phone,,15 September 2023,310.99,ACCT000022,87773 English Hill Suite 616,2664 Davis Pines Apt. 945,Central African Republic,16136.0,TN,East Christopher,###INVALID###,96915.0,,,KVCE42694776228000,Credit Card
CUST00023,Printer,2.0,02 February 2021,358.74,,N-A,,Austria,87453.0,DC,###INVALID###,Net 60,13420.0,jv8060789,EUR,RRKA25058428291991,Bank Transfer
