CustomerID,FirstName,LastName,Email,Phone,Address,Country
CUST0001,Amanda,Collins,amanda.collins@yahoo.com,(343) 074-3566,"018 Alexandra Brook Apt. 804, Lake Karenfurt, LA 73728",USA
CUST0002,Antonio,Brown,n-a,(297) 373-9277,"20470 William Village Suite 576, Ferrellburgh, MT 82627",USA
CUST0003,Cynthia,Carter,cynthia.carter@yahoo.com,(238) 214-2795,"75482 Austin Port Suite 043, Greenland, AR 43530",USA
CUST0004,Heather,Morgan,heather.morgan@yahoo.com,(31) 626-1989,"087 Cunningham Summit Apt. 593, Heiditon, SD 27892",USA
CUST0005,Joseph,Hester,joseph.hester@gmail.com,(4) 088-2791,"979 John Key, South Brandonport, NY 37673",USA
CUST0006,Katherine,Harrison,katherine.harris,177-893-7025,"10632 Eric Inlet Suite 361, West Connorport, KY 32000",USA
CUST0007,Justin,Lin,justin.lin@yahoo.com,(88) 253-7168,"49885 Morales Vista Suite 615, West Joseview, MN 65206",USA
CUST0008,William,Flores,william.flores@yahoo.com,(192) 732-7465,"0840 Vega Track, Smithville, ND 58384",USA
CUST0009,Evan,King,evan.king@yahoo.com,345-984-3405,"773 Wilson Corner Suite 698, West Danaport, MD 22808",USA
CUST0010,Ruth,Stephens,-,(685) 980-0866,"25967 Greene Cove Suite 471, Lake Christopherton, VT 93392",USA
CUST0011,Ronald,White,ronald.white@gmail.com,191-668-9390,"Unit 6545 Box 1158, DPO AE 88986",USA
CUST0012,Austin,Miller,austin.miller@yahoo.com,(43) 726-3003,"432 Robert Hills Suite 022, Frederickland, WV 68888",USA
CUST0013,Alexandria,Maldonado,alexandria.maldonado@gmail.com,(983) 540-5098,"3500 Finley Cliffs Suite 477, Clarkchester, DE 77258",USA
CUST0014,Evan,King,n-a,345 984 3405,"10650 Walker Fort, Scottshire, AK 02421",USA
CUST0015,Kat,Harrison,katherine.harrison@gmail.com,(177) 893-7025,"10632 Eric Inlet Suite 361, West Connorport, KY 32000",USA
CUST0016,Ron,White,ronald.white,191 668 9390,"88196 Summers Rest, Michellemouth, NC 20032",USA
CUST0017,Antony,Brown,antonio.brown@gmail.com,(297) 373-9277,"20470 William Village Suite 576, Ferrellburgh, MT 82627",USA
CUST0018,Alexandria,Maldonado,alexandria.maldonad,983-540-5098,"3500 Finley Cliffs Suite 477, Clarkchester, DE 77258",USA
CUST0019,Cynthia,Carter,cynthia.carter@yahoo.com,238 214 2795,"75482 Austin Port Suite 043, Greenland, AR 43530",USA
CUST0020,Justin,Lin,justin.lin@yahoo.com,(88) 253-7168,"49885 Morales Vista Suite 615, West Joseview, MN 65206",USA
CUST0021,Amanda,Collins,amanda.collins@yahoo.com,(191) 668-9390,"018 Alexandra Brook Apt. 804, Lake Karenfurt, LA 73728",USA
CUST0022,Heather,Morgan,n-a,31-626-1989,"087 Cunningham Summit Apt. 593, Heiditon, SD 27892",USA
CUST0023,Will,Flores,william.flores@yahoo.com,(192) 732-7465,"0840 Vega Track, Smithville, ND 58384",USA
CUST0024,Jennifer,Garcia,jennifer.garcia@gmail.com,(137) 750-8268,"81442 Tina Stream, Mendezhaven, DC 95235",USA
CUST0025,Austin,Miller,missing,(43) 726-3003,"432 Robert Hills Suite 022, Frederickland, WV 68888",USA
CUST0026,Ron,Bell,ronald.bell@yahoo.com,866-248-2830,"USCGC Mata, FPO AP 97159",USA
CUST0027,Michelle,Johnson,michelle.johnson@yahoo.com,x,"11181 Mitchell Row, North Kathrynside, MO 30969",USA
CUST0028,Denise,Sloan,denise.sloan@gmail.com,(177) 893-7025,"USNV Krause, FPO AA 05215",USA
CUST0029,Christopher,Bruce,christopher.bruce@gmail.com,(792) 484-3114,"557 Douglas Skyway Suite 493, Katherineport, HI 81516",USA
CUST0030,Keith,Boyd,keith.boyd@yahoo.com,n-a,"7430 Justin Forks, New Lindachester, AR 96271",USA
CUST0031,Ruth,Stephens,ruth.stephens@gmail.com,685-980-0866,"25967 Greene Cove Suite 471, Lake Christopherton, VT 93392",USA
CUST0032,Jannette,Harper,janet.harper@yahoo.com,536-182-9009,"55787 Thomas Rest Suite 496, Lake Warrenburgh, NC 11276",USA
CUST0033,Vanesa,Gonzales,vanessa.gonzales@gmail.com,(631) 322-1470,"9040 Amanda Estates Suite 451, Teresaland, OR 20485",USA
CUST0034,Becca,Summers,rebecca.summers@gmail.com,941-494-8082,"394 Gordon Crossroad, Lynnport, PA 76031",USA
CUST0035,Chris,Thompson,christopher.thompson,71-115-51153,"39736 Gloria Junctions, Reginabury, UT 31871",USA
CUST0036,Christopher,Coleman,christopher.coleman@yahoo.com,38 6942 1686,"465 Margaret Pass, Janeport, KY 66457",USA
