customer_id,first_name,last_name,email,phone,address,city,state_or_region,postal_code,country,country_id,crm_id,erp_id,loyalty_status,preferred_language,account_manager,last_purchase_date,total_spent
CUST0001,Martina,López,martina.lópez@outlook.com,+34 1641293261,5819 Hussain square,Madrid,Community of Madrid,13011,Spain,ES,SF-3731,SAP-8460,Silver,Finnish,Dr Ann Barrett,2024-04-09,14953.84
CUST0002,Michael,Davis,michael.davis@outlook.com,+1 3714134160,3414 Rosemary street,Austin,TX,61765,United States,US,SF-4926,SAP-3245,Silver,Icelandic,Emma Morris,2023-12-06,16912.46
CUST0003,Ben,Becker,ben.becker@hotmail.com,+49 1225471828,7441 Fiona neck,Cologne,North Rhine-Westphalia,74167,Germany,DE,SF-6355,SAP-6595,Silver,French,Jasmine Fraser,2024-11-20,1286.75
CUST0004,Noah,Schneider,noah.schneider@outlook.com,+49 9266520394,5604 Christian cliff,Cologne,North Rhine-Westphalia,92757,Germany,DE,SF-8040,SAP-5798,Bronze,Norwegian,Janet Davies-Smith,2024-01-24,6736.45
CUST0005,Francesco,Russo,francesco.russo@yahoo.com,+39 10798734,1998 Rosemary ranch,Naples,Campania,13897,Italy,IT,SF-8779,SAP-8341,Platinum,Norwegian,Dylan Reeves,2025-03-16,14315.7
CUST0006,John,Garcia,john.garcia@hotmail.com,+1 6867683840,2919 Ronald extensions,Austin,TX,81790,United States,US,SF-6859,SAP-9627,Silver,Danish,Sally Murray,2025-10-18,11845.69
CUST0007,Jennifer,Garcia,jennifer..garcia@outlook.com,+1 6582273379,1636 John mount,San Francisco,CA,53230,United States,US,SF-8356,SAP-7952,Gold,Norwegian,Kim Turner-Ford,2024-04-05,16921.31
CUST0008,John,Miller,john.miller@yahoo.com,+1 498004800,867 Daniels keys,Denver,CO,76909,United States,US,SF-4232,SAP-1041,Silver,French,Adrian Charlton,2024-02-22,9778.77
CUST0009,Sophie,Visser,sophie.visser@gmail.com,00447123,1120 Lee squares,Amsterdam,North Holland,6389DE,Netherlands,NL,SF-7379,SAP-8336,Platinum,Danish,Stewart Robinson-Gough,2024-12-06,6755.85
CUST0010,Valeria,Martínez,valeria.martínez@yahoo.com,+34 671421472,5431 Dorothy viaduct,Barcelona,Catalonia,11081,Spain,ES,SF-6967,SAP-7554,Gold,Italian,Leanne Begum,2024-01-11,13245.14
CUST0011,Martina,Pérez,martina.pérez@hotmail.com,+34 9304384396,5650 Arthur crescent,Bilbao,Basque Country,49200,Spain,ES,SF-3862,SAP-8473,Platinum,Finnish,Martyn Bryan,2024-05-28,13312.54
CUST0012,Ola,Hansen,ola.hansen@hotmail.com,+47 5027591975,8742 Geraldine squares,Oslo,Oslo,9009,Norway,NO,SF-2959,SAP-5594,Gold,Finnish,Dr Howard Jones,2025-09-25,6945.11
CUST0013,Patricia,Brown,patricia.brown@hotmail.com,+1 2420578019,7858 Colin roads,Denver,CO,93202,United States,US,SF-6277,SAP-5423,Gold,German,Valerie Thomas,2024-07-08,6169.71
CUST0014,Lucas,García,lucas.garcía@outlook.com,+34 8110628969,8907 Kim greens,Valencia,Valencian Community,69426,Spain,ES,SF-6151,SAP-8619,Gold,Norwegian,Ross Fisher,2024-09-19,14612.06
CUST0015,Michael,Johnson,michael.johnson@outlook.com,+1 553477935,1654 Nathan club,San Francisco,CA,81610,United States,US,SF-2987,SAP-4512,Platinum,English,Ms Teresa Fowler,2024-08-04,9861.29
CUST0016,Olivia,Evans,olivia.evans@hotmail.com,+44 182745527,5316 Sharon crossroad,Glasgow,Glasgow City,M5 5HJ,United Kingdom,UK,SF-3733,SAP-8858,Gold,Finnish,Mr Edward Porter,2025-09-08,17533.73
CUST0017,Jennifer,Miller,jennifer.miller@yahoo.com,abcd1234,2568 Simpson summit,Boston,MA,20786,United States,US,SF-7467,SAP-6423,Gold,Danish,Terence Taylor,2025-07-05,85.35
CUST0018,Mateo,López,mateo.lópez@outlook.com,+34 416635458,5097 Amy burg,Barcelona,Catalonia,73689,Spain,ES,SF-2218,SAP-2310,Silver,Norwegian,Mohammed Gill,2024-09-06,2249.73
CUST0019,Valeria,Martínez,valeria martínez@yahoo.com,+34 421569092,1365 Vincent estate,Malaga,Andalusia,83066,Spain,ES,SF-1214,SAP-2516,Silver,Norwegian,Mr Karl Carr,2025-08-19,16233.02
CUST0020,Jack,Brown,jack.brown@gmail.com,+44 6036434098,7232 Morton viaduct,Manchester,Greater Manchester,HS43 0HR,United Kingdom,UK,SF-3217,SAP-1078,Platinum,Spanish,Olivia Taylor,2025-06-14,3546.67
CUST0021,Jules,Petit,jules.petit@gmail.com,+33 778485665,8060 Parsons pass,Paris,Île-de-France,55342,France,FR,SF-3117,SAP-2418,Silver,Italian,Annette Robinson,2024-12-12,622.31
CUST0022,Jack,O'Sullivan,jack.o'sullivan@gmail.com,+353 93114104,8855 Singh crescent,Cork,County Cork,DD9 0EZ,Ireland,IE,SF-7603,SAP-2618,Silver,French,Debra Briggs,2024-06-22,14065.54
CUST0023,William,Anderson,william.anderson@gmail.com,+1 747817177,453 Butler pass,Toronto,ON,E1S 0X6,Canada,CA,SF-9444,SAP-7219,Bronze,Icelandic,Alex Sutton,2024-03-18,14045.13
